Test,Gene,Chromosome,Description,GO,PFAM,ATG,ATG Synonyms,
DE biotic & drought,Potri.010G231500,Chr10,"similar to oxidoreductase; 2OG-Fe(2) oxygenase family protein; similar to ripening protein E8; similar to Lycopersicon esculentum (PIR:S01642); similar to 2OG-Fe(II) oxygenase superfamily; [ ortholog of At2g06960,At2g36690,]","GO:0016491-oxidoreductase activity;GO:0016706-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors;GO:0055114-oxid",PF03171-2OG-Fe(II) oxygenase superfamily,,,
DE biotic & drought,Potri.016G077400,Chr16,,,PF08244-Glycosyl hydrolases family 32 C terminal;PF00251-Glycosyl hydrolases family 32 N-terminal domain,AT3G52600.1,"AtcwINV2,CWINV2",
DE biotic & drought,Potri.017G046200,Chr17,,"GO:0016702-oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;GO:0046872-metal ion binding;GO:0055114-oxidation reduction",PF00305-Lipoxygenase,AT3G45140.1,"ATLOX2,LOX2",
DE biotic & drought,Potri.017G146600,Chr17,,GO:0005524-ATP binding;GO:0051082-unfolded protein binding;GO:0006457-protein folding;GO:0006950-response to stress,"PF02518-Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase;PF00183-Hsp90 protein",AT5G52640.1,"ATHS83,AtHsp90-1,ATHSP90.1,HSP81-1,HSP81.1,HSP83,HSP90.1",
DE biotic & drought,Potri.018G066900,Chr18,,GO:0008270-zinc ion binding;GO:0005622-intracellular,PF00641-Zn-finger in Ran binding protein and others,,,
DE biotic & drought,Potri.018G149300,Chr18,"similar to cytochrome P450 family; similar to simialr to taxane 13-alpha-hydroxylase (Taxus cuspidata) GI:17148242; [ ortholog of At5g36140,At5g36130,At5g36110,]","GO:0005506-iron ion binding;GO:0009055-electron carrier activity;GO:0016705-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen;GO:0020037-heme binding;GO:0055114-oxidation reduction",PF00067-Cytochrome P450,AT5G36110.1,CYP716A1,
DE biotic,Potri.001G011500,Chr01,"similar to peroxidase (EC 1.11.1.7) - large-leaved lupine (fragment). [ORG:Lupinus polyphyllus]; [ co-ortholog (15of16) of JC4779, CAC38073, 1908234A, CAA76680, AAB41810, BAC81650, 1FHF_B, AAB06183, CAA62226, AAB28139, 1FHF_A, JC4781, AAB97734, AAO13838,",GO:0004601-peroxidase activity;GO:0020037-heme binding;GO:0006979-response to oxidative stress;GO:0055114-oxidation reduction,PF00141-Peroxidase,AT5G06720.1,"ATPA2,PA2",
DE biotic,Potri.001G254700,Chr01,,,PF00011-Hsp20/alpha crystallin family,,,
DE biotic,Potri.001G325200,Chr01,"similar to SENESCENCE-RELATED GENE 3; [ ortholog of At5g43300,At3g02040,]",GO:0006071-glycerol metabolism;GO:0008889-glycerophosphodiester phosphodiesterase activity,PF03009-Glycerophosphoryl diester phosphodiesterase family,,,
DE biotic,Potri.001G335900,Chr01,,GO:0004499-dimethylaniline monooxygenase (N-oxide-forming) activity;GO:0050660-FAD binding;GO:0050661-NADPH binding;GO:0055114-oxidation reduction,PF00743-Flavin-binding monooxygenase-like,AT1G19250.1,FMO1,
DE biotic,Potri.002G118700,Chr02,,GO:0005515-protein binding,PF00646-F-box domain,,,
DE biotic,Potri.003G147300,Chr03,,"GO:0006355-regulation of transcription, DNA-dependent;GO:0030528-transcription regulator activity",PF00010-Helix-loop-helix DNA-binding domain,AT1G32640.1,"ATMYC2,JAI1,JIN1,MYC2,RD22BP1,ZBF1",
DE biotic,Potri.004G060100,Chr04,,GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation;GO:0005515-protein binding,PF00069-Protein kinase domain;PF00560-Leucine Rich Repeat;PF08263-Leucine rich repeat N-terminal domain,,,
DE biotic,Potri.007G111500,Chr07,,GO:0004866-endopeptidase inhibitor activity,PF00197-Trypsin and protease inhibitor,AT1G73260.1,"ATKTI1,KTI1",
DE biotic,Potri.009G054900,Chr09,,,PF03062-MBOAT family,AT3G51970.1,"ASAT1,ATASAT1,ATSAT1",
DE biotic,Potri.012G012300,Chr12,,,,,,
DE biotic,Potri.013G012700,Chr13,,,,AT1G09155.1,"AtPP2-B15,PP2-B15",
DE biotic,Potri.018G067400,Chr18,,,,,,
DE drought,Potri.001G006500,Chr01,,"GO:0004553-hydrolase activity, hydrolyzing O-glycosyl compounds;GO:0005975-carbohydrate metabolism",PF00332-Glycosyl hydrolases family 17;PF07983-X8 domain,,,
DE drought,Potri.001G006600,Chr01,,GO:0003824-catalytic activity;GO:0008152-metabolism,PF00501-AMP-binding enzyme,AT1G55320.1,AAE18,
DE drought,Potri.001G010300,Chr01,,GO:0008324-cation transporter activity;GO:0006812-cation transport;GO:0055085-transmembrane transport;GO:0016021-integral to membrane,PF01545-Cation efflux family,,,
DE drought,Potri.001G015300,Chr01,"similar to CPRD46 protein. [ORG:Vigna unguiculata]; [ co-ortholog (3of6) of BAA13542, At3g45140, ]","GO:0016702-oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen;GO:0046872-metal ion binding;GO:0055114-oxidation reduction;GO:0005515-protein binding",PF00305-Lipoxygenase;PF01477-PLAT/LH2 domain,AT3G45140.1,"ATLOX2,LOX2",
DE drought,Potri.001G040500,Chr01,similar to wall-associated kinase; putative; similar to wall-associated kinase 4 GI:3355308 from (Arabidopsis thaliana); similar to isoform contains non-consensus AT-acceptor splice site.; similar to wall-associated kinase; putative; similar to wall-assoc,GO:0005524-ATP binding;GO:0004672-protein kinase activity;GO:0006468-protein amino acid phosphorylation;GO:0005509-calcium ion binding;GO:0004674-protein serine/threonine kinase activity;GO:0016021-integral to membrane,PF07645-Calcium-binding EGF domain;PF08488-Wall-associated kinase;PF00069-Protein kinase domain,AT1G16130.1,WAKL2,
DE drought,Potri.001G106700,Chr01,,,,,,
DE drought,Potri.001G119900,Chr01,,,PF02519-Auxin responsive protein,,,
DE drought,Potri.001G120300,Chr01,"similar to Putative monocopper oxidase precursor (Skewed roots).; [ co-ortholog (1of2) of At4g12420, ]",GO:0016491-oxidoreductase activity;GO:0055114-oxidation reduction;GO:0005507-copper ion binding,PF00394-Multicopper oxidase;PF07732-Multicopper oxidase,AT4G12420.1,SKU5,
DE drought,Potri.001G130700,Chr01,,GO:0005515-protein binding,PF00917-MATH domain,,,
DE drought,Potri.001G228300,Chr01,,GO:0005529-sugar binding;GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation,PF00069-Protein kinase domain;PF01453-D-mannose binding lectin,AT5G60900.1,RLK1,
DE drought,Potri.001G235300,Chr01,"similar to nodulin-26. [ORG:Glycine max]; [ co-ortholog (4of4) of JQ2288, AAA02947, ]",GO:0005215-transporter activity;GO:0006810-transport;GO:0016020-membrane,PF00230-Major intrinsic protein,AT4G01470.1,"ATTIP1.3,GAMMA-TIP3,TIP1;3",
DE drought,Potri.001G292600,Chr01,,GO:0005215-transporter activity;GO:0006810-transport;GO:0055085-transmembrane transport;GO:0016020-membrane,PF00860-Permease family,,,
DE drought,Potri.001G349600,Chr01,,"GO:0016491-oxidoreductase activity;GO:0008152-metabolism;GO:0003854-3-beta-hydroxy-delta5-steroid dehydrogenase activity;GO:0016616-oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;GO:0006694-steroid biosynthesis;GO:00",PF01073-3-beta hydroxysteroid dehydrogenase/isomerase family,,,
DE drought,Potri.002G068100,Chr02,,,,,,
DE drought,Potri.002G124500,Chr02,,GO:0004252-serine-type endopeptidase activity;GO:0006508-proteolysis and peptidolysis;GO:0042802-protein self binding;GO:0043086-negative regulation of enzyme activity,PF05922-Peptidase inhibitor I9;PF00082-Subtilase family;PF02225-PA domain,,,
DE drought,Potri.003G050400,Chr03,"integral membrane family protein; similar to At2g38480; similar to At1g45222 and others share this domain structure; similar to distantly related to GP|14; [ co-ortholog (2of2) of At3g16300, ]",,PF04535-Domain of unknown function (DUF588),,,
DE drought,Potri.003G075800,Chr03,,,PF05678-VQ motif,,,
DE drought,Potri.003G085800,Chr03,"similar to expressed protein in Arabidopsis thaliana; [ co-ortholog (1of2) of At1g32740, ]",,,,,
DE drought,Potri.003G123400,Chr03,,,,,,
DE drought,Potri.003G177200,Chr03,,,,,,
DE drought,Potri.003G178900,Chr03,,GO:0005524-ATP binding;GO:0016887-ATPase activity;GO:0016020-membrane,PF01061-ABC-2 type transporter;PF08370-Plant PDR ABC transporter associated;PF00005-ABC transporter,AT1G15520.1,"ABCG40,ATABCG40,ATPDR12,PDR12",
DE drought,Potri.003G184000,Chr03,"similar to heat shock protein 70 cognate. [ORG:Salix gilgiana]; [ co-ortholog (6of11) of S14992, CAA44620, CAA83548, 1805333A, CAA67588, AAN87001, S08662, CAA67867, S44168, CAA82915, T09535, AAA82975, S53498, CAA36067, S42078, BAA34919, AAG23797, P26413,",GO:0000902-cellular morphogenesis;GO:0005524-ATP binding,PF00012-Hsp70 protein,AT3G12580.1,"ATHSP70,HSP70",
DE drought,Potri.004G025600,Chr04,,,PF01657-Domain of unknown function DUF26,AT4G05200.1,CRK25,
DE drought,Potri.004G138200,Chr04,,,"PF03765-CRAL/TRIO, N-terminus;PF00650-CRAL/TRIO domain",,,
DE drought,Potri.004G140300,Chr04,,GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation;GO:0004252-serine-type endopeptidase activity;GO:0006508-proteolysis and peptidolysis,PF02225-PA domain;PF00069-Protein kinase domain;PF00082-Subtilase family,,,
DE drought,Potri.004G161400,Chr04,,GO:0004252-serine-type endopeptidase activity;GO:0006508-proteolysis and peptidolysis;GO:0042802-protein self binding;GO:0043086-negative regulation of enzyme activity,PF05922-Peptidase inhibitor I9;PF00082-Subtilase family;PF02225-PA domain,,,
DE drought,Potri.004G165200,Chr04,,,PF02519-Auxin responsive protein,,,
DE drought,Potri.004G165300,Chr04,,,PF02519-Auxin responsive protein,,,
DE drought,Potri.004G172300,Chr04,,GO:0031072-heat shock protein binding,PF00226-DnaJ domain,,,
DE drought,Potri.004G185000,Chr04,,GO:0003824-catalytic activity;GO:0050662-coenzyme binding;GO:0044237-cellular metabolism,PF07993-Male sterility protein,AT4G33790.1,"CER4,FAR3,G7",
DE drought,Potri.005G031200,Chr05,,GO:0005622-intracellular;GO:0007165-signal transduction;GO:0005515-protein binding;GO:0043531-ADP binding;GO:0005524-ATP binding;GO:0006915-apoptosis;GO:0004888-transmembrane receptor activity;GO:0031224-intrinsic to membrane;GO:0045087-innate immune resp,PF01582-TIR domain;PF00931-NB-ARC domain,,,
DE drought,Potri.005G054100,Chr05,,,,AT2G30580.1,DRIP2,
DE drought,Potri.005G054200,Chr05,,,,,,
DE drought,Potri.005G068700,Chr05,,GO:0004806-triacylglycerol lipase activity;GO:0006629-lipid metabolism,PF01764-Lipase (class 3),AT3G52430.1,"ATPAD4,PAD4",
DE drought,Potri.005G075300,Chr05,"similar to Ras-related GTP-binding protein; putative; similar to GTP-binding protein GI:550072 from (Homo sapiens); [ co-ortholog (1of2) of At4g39890, At2g22290, At5g64990, ]",GO:0003924-GTPase activity;GO:0005525-GTP binding;GO:0007264-small GTPase mediated signal transduction;GO:0005634-nucleus;GO:0005737-cytoplasm;GO:0005622-intracellular,PF00071-Ras family,AT5G10260.1,"AtRABH1e,RABH1e",
DE drought,Potri.005G088600,Chr05,,GO:0008234-cysteine-type peptidase activity;GO:0006508-proteolysis and peptidolysis,PF00112-Papain family cysteine protease;PF08246-Cathepsin propeptide inhibitor domain (I29),AT5G45890.1,SAG12,
DE drought,Potri.005G141300,Chr05,"similar to expressed protein in Arabidopsis thaliana; [ ortholog of At5g67210,]",,PF04669-Protein of unknown function (DUF579),,,
DE drought,Potri.005G147300,Chr05,,,PF07765-KIP1-like protein,,,
DE drought,Potri.005G181600,Chr05,,,PF01490-Transmembrane amino acid transporter protein,AT1G77380.1,"AAP3,ATAAP3",
DE drought,Potri.006G056100,Chr06,,,,,,
DE drought,Potri.006G067400,Chr06,,GO:0009055-electron carrier activity;GO:0005507-copper ion binding,PF02298-Plastocyanin-like domain,AT5G20230.1,"ATBCB,BCB,SAG14",
DE drought,Potri.006G140600,Chr06,,,PF07911-Protein of unknown function (DUF1677),,,
DE drought,Potri.006G177600,Chr06,,GO:0016020-membrane,PF00892-EamA-like transporter family,,,
DE drought,Potri.006G178200,Chr06,,,,,,
DE drought,Potri.006G224100,Chr06,,"GO:0003700-transcription factor activity;GO:0043565-sequence-specific DNA binding;GO:0006355-regulation of transcription, DNA-dependent",PF03106-WRKY DNA -binding domain,AT5G26170.1,"ATWRKY50,WRKY50",
DE drought,Potri.006G277000,Chr06,,"GO:0003677-DNA binding;GO:0006355-regulation of transcription, DNA-dependent",PF02365-No apical meristem (NAM) protein,AT2G24430.1,"ANAC038,ANAC039,NAC038",
DE drought,Potri.006G277300,Chr06,,GO:0003824-catalytic activity;GO:0008152-metabolism,PF00378-Enoyl-CoA hydratase/isomerase family,AT5G65940.1,CHY1,
DE drought,Potri.007G005900,Chr07,"similar to alpha galactosyltransferase. [ORG:Trigonella foenum-graecum]; [ co-ortholog (2of2) of At4g37690, At2g22900, T52082, CAC07512, CAB52246, CAC07510, At4g38310, CAC07509, CAD98924, CAC07511, ]","GO:0016758-transferase activity, transferring hexosyl groups;GO:0016021-integral to membrane",PF05637-galactosyl transferase GMA12/MNN10 family,,,
DE drought,Potri.007G007800,Chr07,"similar to 1-aminocyclopropane-1-carboxylic acid synthase. [ORG:Malus x domestica]; [ co-ortholog (2of2) of JQ2214, At2g22810, AAR38501, T06252, AAB69137, T10854, AAS66776, P37821, 1916421B, AAA73941, AAG28795, AAD41083, BAA76389, CAA09670, T10822, 1M4N_A","GO:0016740-transferase activity;GO:0030170-pyridoxal phosphate binding;GO:0009058-biosynthesis;GO:0016769-transferase activity, transferring nitrogenous groups",PF00155-Aminotransferase class I and II,AT4G37770.1,ACS8,
DE drought,Potri.007G056700,Chr07,"proline-rich family protein; [ ortholog of At3g51290,]",,PF04782-Protein of unknown function (DUF632);PF04783-Protein of unknown function (DUF630),,,
DE drought,Potri.007G111200,Chr07,,GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation;GO:0048544-recognition or rejection of self pollen;GO:0005529-sugar binding,PF00954-S-locus glycoprotein family;PF00069-Protein kinase domain;PF01453-D-mannose binding lectin,AT5G60900.1,RLK1,
DE drought,Potri.008G019700,Chr08,,,PF01814-Hemerythrin HHE cation binding domain,,,
DE drought,Potri.008G019900,Chr08,,,,,,
DE drought,Potri.008G062600,Chr08,"zinc finger (C3HC4-type RING finger) family protein; similar to C3HC4 type (RING finger); [ co-ortholog (2of2) of At5g05830, ]",,"PF00097-Zinc finger, C3HC4 type (RING finger)",,,
DE drought,Potri.008G093200,Chr08,"similar to expressed protein in Arabidopsis thaliana; weakly similar to drought-induced protein SDi-6 (PIR:S71562) common sunflower (fragment); [ co-ortholog (2of2) of At1g13930, At2g03440, ]",,,AT2G03440.1,"ATNRP1,NRP1",
DE drought,Potri.008G150600,Chr08,,GO:0005247-voltage-gated chloride channel activity;GO:0006821-chloride transport;GO:0016020-membrane;GO:0055085-transmembrane transport,,AT5G26240.1,"ATCLC-D,CLC-D",
DE drought,Potri.008G151600,Chr08,"similar to photosystem I 20kD protein. [ORG:Cucumis sativus]; [ co-ortholog (1of2) of A60695, At1g03130, At4g02770, 1710320A, P32869, ]",GO:0015979-photosynthesis;GO:0009522-photosystem I;GO:0009538-photosystem I reaction center,PF02531-PsaD,AT1G03130.1,PSAD-2,
DE drought,Potri.008G189700,Chr08,"similar to protein kinase; putative; [ ortholog of At1g70460,]",GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation,PF07714-Protein tyrosine kinase,AT1G23540.1,"AtPERK12,IGI1",
DE drought,Potri.008G192900,Chr08,"similar to formin homology 2 domain-containing protein; similar to FH2 domain-containing protein; similar to formin homology 2 domain containing protein; [ co-ortholog (2of3) of At1g24150, At1g70140, ]",,PF02181-Formin Homology 2 Domain,AT1G70140.1,"ATFH8,FH8",
DE drought,Potri.008G217900,Chr08,,GO:0003677-DNA binding;GO:0043565-sequence-specific DNA binding;GO:0005622-intracellular,PF00808-Histone-like transcription factor (CBF/NF-Y) and archaeal histone,AT2G47810.1,NF-YB5,
DE drought,Potri.009G010900,Chr09,,,PF00535-Glycosyl transferase family 2,,,
DE drought,Potri.009G014100,Chr09,"similar to expressed protein in Arabidopsis thaliana; similar to DUF584; [ ortholog of At3g45210,At5g60680,At5g03230,]",,"PF04520-Protein of unknown function, DUF584",,,
DE drought,Potri.009G055100,Chr09,,,PF03062-MBOAT family,AT3G51970.1,"ASAT1,ATASAT1,ATSAT1",
DE drought,Potri.009G097800,Chr09,"similar to cyclin D3. [ORG:Medicago sativa]; [ co-ortholog (2of2) of At4g34160, CAB40541, ]",GO:0005634-nucleus,"PF00134-Cyclin, N-terminal domain;PF02984-Cyclin, C-terminal domain",AT4G34160.1,"CYCD3,CYCD3;1",
DE drought,Potri.010G046700,Chr10,,,,,,
DE drought,Potri.010G065700,Chr10,,,,,,
DE drought,Potri.010G121000,Chr10,,GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation,PF00069-Protein kinase domain,AT5G38280.1,PR5K,
DE drought,Potri.010G180000,Chr10,,"GO:0016747-transferase activity, transferring groups other than amino-acyl groups",PF02458-Transferase family,,,
DE drought,Potri.011G058300,Chr11,"protein kinase family protein; similar to protein kinase domain containing protein; [ co-ortholog (1of2) of At5g46080, ]",GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation,PF07714-Protein tyrosine kinase,,,
DE drought,Potri.012G094500,Chr12,,GO:0004474-malate synthase activity;GO:0006097-glyoxylate cycle,PF01274-Malate synthase,AT5G03860.1,MLS,
DE drought,Potri.012G132400,Chr12,"similar to gibberellin 20-oxidase (EC 1.14.11.-) - garden pea. [ORG:Pisum sativum]; [ co-ortholog (2of2) of T06787, T11848, CAH59131, CAH59143, CAH59139, CAA62846, CAH59109, AAF29605, At5g51810, CAH59116, CAA70329, At4g25420, T06439, CAH59115, CAH59097, C","GO:0016491-oxidoreductase activity;GO:0016706-oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors;GO:0055114-oxid",PF03171-2OG-Fe(II) oxygenase superfamily,AT5G51810.1,"AT2353,ATGA20OX2,GA20OX2",
DE drought,Potri.013G054000,Chr13,,"GO:0003677-DNA binding;GO:0006355-regulation of transcription, DNA-dependent",PF02365-No apical meristem (NAM) protein,AT3G04070.1,"anac047,NAC047",
DE drought,Potri.013G054100,Chr13,,,,,,
DE drought,Potri.014G091200,Chr14,"reticulon family protein; [ ortholog of At3g61560,At2g46170,]",GO:0005783-endoplasmic reticulum,PF02453-Reticulon,,,
DE drought,Potri.014G160200,Chr14,,"GO:0016788-hydrolase activity, acting on ester bonds;GO:0006629-lipid metabolism",PF00657-GDSL-like Lipase/Acylhydrolase,,,
DE drought,Potri.014G166900,Chr14,,,,,,
DE drought,Potri.015G018400,Chr15,,,,,,
DE drought,Potri.015G026300,Chr15,,GO:0004672-protein kinase activity;GO:0005524-ATP binding;GO:0006468-protein amino acid phosphorylation;GO:0048544-recognition or rejection of self pollen;GO:0005529-sugar binding,PF00954-S-locus glycoprotein family;PF00069-Protein kinase domain;PF01453-D-mannose binding lectin,,,
DE drought,Potri.015G041000,Chr15,"similar to MOTHER of FT and TF1 protein.; [ ortholog of At1g18100,]",,PF01161-Phosphatidylethanolamine-binding protein,AT1G18100.1,"E12A11,MFT",
DE drought,Potri.015G128700,Chr15,"similar to 21K protein precursor - alfalfa. [ORG:Medicago sativa]; [ co-ortholog (2of2) of T09390, CAA72315, At5g62350, At5g62340, At3g47380, ]",GO:0004857-enzyme inhibitor activity;GO:0030599-pectinesterase activity,PF04043-Plant invertase/pectin methylesterase inhibitor,,,
DE drought,Potri.017G013700,Chr17,,"GO:0003700-transcription factor activity;GO:0006355-regulation of transcription, DNA-dependent",PF00847-AP2 domain,AT5G44210.1,"ATERF-9,ATERF9,ERF9",
DE drought,Potri.017G046800,Chr17,,,,,,
DE drought,Potri.018G034600,Chr18,,GO:0031072-heat shock protein binding;GO:0051082-unfolded protein binding;GO:0006457-protein folding,PF00226-DnaJ domain;PF01556-DnaJ C terminal region,,,
DE drought,Potri.018G093600,Chr18,,GO:0005524-ATP binding,PF00004-ATPase family associated with various cellular activities (AAA),,,
DE drought,Potri.019G010500,Chr19,"zinc finger (C3HC4-type RING finger) family protein; similar to C3HC4 type (RING finger); [ co-ortholog (2of2) of At1g49230, ]",,"PF00097-Zinc finger, C3HC4 type (RING finger)",,,
DE drought,Potri.019G063100,Chr19,"similar to Chlorophyll a-b binding protein CP26; similar to chloroplast precursor (Light- harvesting complex II protein 5) (LHCB5) (LHCIIc).; [ ortholog of At4g10340,]",GO:0009765-photosynthesis light harvesting;GO:0016020-membrane,PF00504-Chlorophyll A-B binding protein,AT4G10340.1,LHCB5,
DE drought,Potri.019G118900,Chr19,,GO:0003677-DNA binding,PF00249-Myb-like DNA-binding domain,AT1G79180.1,"ATMYB63,MYB63",
